start_time,axis1,axis2,axis3,steps,lux
2012-04-17 16:31:00,2240,2572,3590,34,2240
2012-04-17 16:32:00,2161,2790,3517,15,2161
2012-04-17 16:33:00,3570,3549,4058,34,3570
2012-04-17 16:34:00,3362,2980,4536,34,3362
2012-04-17 16:35:00,5950,6245,4747,49,5950
2012-04-17 16:36:00,4541,4885,3789,24,4541
2012-04-17 16:37:00,898,1223,732,6,898
2012-04-17 16:38:00,6275,5220,5421,51,6275
2012-04-17 16:39:00,3049,3180,3502,46,3049
2012-04-17 16:40:00,2419,2290,2230,36,2419
2012-04-17 16:41:00,1766,1899,1996,17,1766
2012-04-17 16:42:00,679,1546,920,7,679
2012-04-17 16:43:00,1384,2003,1750,28,1384
2012-04-17 16:44:00,1903,2128,2687,39,1903
2012-04-17 16:45:00,2273,2175,2550,29,2273
2012-04-17 16:46:00,5220,3870,3875,61,5220
2012-04-17 16:47:00,2096,2036,2426,50,2096
2012-04-17 16:48:00,2864,1940,2402,26,2864
2012-04-17 16:49:00,2108,2768,1620,89,2108
2012-04-17 16:50:00,2532,1670,2372,13,2532
2012-04-17 16:51:00,1215,2054,1807,11,1215
2012-04-17 16:52:00,117,32,54,2,117
2012-04-17 16:53:00,114,303,320,4,114
2012-04-17 16:54:00,102,326,282,4,102
2012-04-17 16:55:00,78,73,69,1,78
2012-04-17 16:56:00,82,25,83,3,82
2012-04-17 16:57:00,5,51,39,1,5
2012-04-17 16:58:00,54,40,112,2,54
2012-04-17 16:59:00,402,461,756,15,402
2012-04-17 17:00:00,398,553,693,9,398
2012-04-17 17:01:00,3878,3747,3959,38,3878
2012-04-17 17:02:00,7405,5635,6126,37,7405
2012-04-17 17:03:00,1310,1235,1995,12,1310
2012-04-17 17:04:00,1461,2110,3202,11,1461
2012-04-17 17:05:00,4507,3559,3933,27,4507
2012-04-17 17:06:00,5718,4513,3994,31,5718
2012-04-17 17:07:00,5925,4015,5181,29,5925
2012-04-17 17:08:00,3597,3938,5134,21,3597
2012-04-17 17:09:00,5824,5361,6496,30,5824
2012-04-17 17:10:00,2728,4537,6701,27,2728
2012-04-17 17:11:00,3804,4425,6093,26,3804
2012-04-17 17:12:00,5292,5961,6271,26,5292
2012-04-17 17:13:00,7169,6934,7072,42,7169
2012-04-17 17:14:00,5466,6604,6592,36,5466
2012-04-17 17:15:00,7193,6510,7944,46,7193
2012-04-17 17:16:00,6958,6424,8335,42,6958
2012-04-17 17:17:00,7775,7081,7861,41,7775
2012-04-17 17:18:00,4944,5489,7982,34,4944
2012-04-17 17:19:00,2480,2110,4202,15,2480
2012-04-17 17:20:00,6114,6371,5828,44,6114
2012-04-17 17:21:00,4098,5245,4527,30,4098
2012-04-17 17:22:00,3743,3326,3135,15,3743
2012-04-17 17:23:00,83,836,368,2,83
2012-04-17 17:24:00,149,1733,1027,5,149
2012-04-17 17:25:00,234,1031,1018,5,234
2012-04-17 17:26:00,1080,3080,1375,9,1080
2012-04-17 17:27:00,1166,3979,1398,5,1166
2012-04-17 17:28:00,466,1639,685,2,466
2012-04-17 17:29:00,300,3446,896,2,300
2012-04-17 17:30:00,1316,3403,2282,8,1316
2012-04-17 17:31:00,2355,4625,2498,20,2355
2012-04-17 17:32:00,4214,3486,4751,29,4214
2012-04-17 17:33:00,3940,2509,3748,21,3940
2012-04-17 17:34:00,1536,2220,2211,9,1536
2012-04-17 17:35:00,2977,2260,3325,13,2977
2012-04-17 17:36:00,2786,2335,2972,15,2786
2012-04-17 17:37:00,4295,2465,4643,17,4295
2012-04-17 17:38:00,2639,1976,3655,13,2639
2012-04-17 17:39:00,1560,1040,1703,8,1560
2012-04-17 17:40:00,2563,1442,2627,10,2563
2012-04-17 17:41:00,1263,1108,1296,10,1263
2012-04-17 17:42:00,1975,1277,2349,16,1975
2012-04-17 17:43:00,2552,1889,1576,16,2552
2012-04-17 17:44:00,2909,2591,2753,24,2909
2012-04-17 17:45:00,5,1517,538,0,5
2012-04-17 17:46:00,902,3199,1617,7,902
2012-04-17 17:47:00,1008,2100,1250,10,1008
2012-04-17 17:48:00,178,1490,574,1,178
2012-04-17 17:49:00,572,1914,891,5,572
