start_time,axis1,axis2,axis3,steps
2015-02-08 18:05:00,2723,4251,3643,28
2015-02-08 18:06:00,5550,5120,5876,35
2015-02-08 18:07:00,3669,3138,3206,31
2015-02-08 18:08:00,5312,4568,3610,39
2015-02-08 18:09:00,6007,6260,6935,40
2015-02-08 18:10:00,4178,3652,4171,42
2015-02-08 18:11:00,5848,7285,6421,35
2015-02-08 18:12:00,5046,4812,6156,39
2015-02-08 18:13:00,3101,3288,5356,30
2015-02-08 18:14:00,1457,3756,2030,23
2015-02-08 18:15:00,354,1460,4326,9
2015-02-08 18:16:00,1042,2083,2866,7
2015-02-08 18:17:00,1368,2917,3902,22
2015-02-08 18:18:00,2392,2421,2050,21
2015-02-08 18:19:00,244,822,1263,4
2015-02-08 18:20:00,3383,2202,2013,24
2015-02-08 18:21:00,3872,2625,3843,17
2015-02-08 18:22:00,4222,2547,3192,31
2015-02-08 18:23:00,2342,1459,1477,21
2015-02-08 18:24:00,3015,2026,1945,23
2015-02-08 18:25:00,5565,3055,4106,33
2015-02-08 18:26:00,3985,2557,2942,37
2015-02-08 18:27:00,7633,6289,4528,39
2015-02-08 18:28:00,12732,8371,6633,59
2015-02-08 18:29:00,1382,2030,1683,11
2015-02-08 18:30:00,11,34,40,0
2015-02-08 18:31:00,18,35,45,2
2015-02-08 18:32:00,2,37,247,0
2015-02-08 18:33:00,13,19,413,0
2015-02-08 18:34:00,14,11,94,1
2015-02-08 18:35:00,10,56,384,0
2015-02-08 18:36:00,805,965,794,7
2015-02-08 18:37:00,66,94,447,1
2015-02-08 18:38:00,7,35,137,0
2015-02-08 18:39:00,242,143,379,1
2015-02-08 18:40:00,0,0,0,0
2015-02-08 18:41:00,0,6,107,0
2015-02-08 18:42:00,304,1038,734,1
2015-02-08 18:43:00,277,189,344,2
2015-02-08 18:44:00,89,247,308,3
2015-02-08 18:45:00,64,164,158,1
2015-02-08 18:46:00,268,92,1119,2
2015-02-08 18:47:00,520,1045,765,4
2015-02-08 18:48:00,484,632,1907,6
2015-02-08 18:49:00,110,36,15,3
2015-02-08 18:50:00,13,7,16,1
2015-02-08 18:51:00,10,142,421,0
2015-02-08 18:52:00,295,504,1258,2
2015-02-08 18:53:00,1057,3674,4484,11
2015-02-08 18:54:00,1324,989,779,7
2015-02-08 18:55:00,14,35,25,0
2015-02-08 18:56:00,305,390,269,3
2015-02-08 18:57:00,692,788,1341,6
2015-02-08 18:58:00,12,57,49,0
2015-02-08 18:59:00,101,182,214,2
2015-02-08 19:00:00,4884,3043,2272,55
2015-02-08 19:01:00,5710,3344,4657,48
2015-02-08 19:02:00,3142,2515,4030,33
2015-02-08 19:03:00,3453,2039,2835,49
2015-02-08 19:04:00,3879,2233,2280,36
2015-02-08 19:05:00,2019,1193,1803,24
2015-02-08 19:06:00,2558,1343,2012,32
2015-02-08 19:07:00,3437,1778,2086,46
2015-02-08 19:08:00,1670,1195,1983,23
2015-02-08 19:09:00,3185,1659,2264,27
2015-02-08 19:10:00,3617,2603,2416,58
2015-02-08 19:11:00,871,1282,943,6
2015-02-08 19:12:00,509,386,166,5
2015-02-08 19:13:00,575,971,681,9
2015-02-08 19:14:00,990,1665,570,9
2015-02-08 19:15:00,4750,3204,2688,45
2015-02-08 19:16:00,2774,1560,1999,63
2015-02-08 19:17:00,1798,1067,2289,45
2015-02-08 19:18:00,3085,2169,2059,19
2015-02-08 19:19:00,2391,1831,2705,33
2015-02-08 19:20:00,3035,4147,4386,25
2015-02-08 19:21:00,4065,2674,2753,46
2015-02-08 19:22:00,3510,2333,3050,32
2015-02-08 19:23:00,3539,2071,3220,36
2015-02-08 19:24:00,1087,668,1202,10
2015-02-08 19:25:00,582,740,529,3
2015-02-08 19:26:00,3679,2308,2502,33
2015-02-08 19:27:00,2580,1360,1710,10
2015-02-08 19:28:00,238,357,195,5
2015-02-08 19:29:00,687,601,759,5
2015-02-08 19:30:00,20,100,34,0
2015-02-08 19:31:00,2391,1510,1812,6
2015-02-08 19:32:00,784,601,1253,7
2015-02-08 19:33:00,1074,1927,3232,7
2015-02-08 19:34:00,706,1000,2394,8
2015-02-08 19:35:00,889,859,1096,7
2015-02-08 19:36:00,190,202,288,4
2015-02-08 19:37:00,67,16,111,1
2015-02-08 19:38:00,487,313,435,3
2015-02-08 19:39:00,7255,5915,4012,46
2015-02-08 19:40:00,5519,3864,2031,57
2015-02-08 19:41:00,3162,2235,2227,24
2015-02-08 19:42:00,2011,1710,2583,44
2015-02-08 19:43:00,4779,2066,1828,41
2015-02-08 19:44:00,1743,1463,1708,22
2015-02-08 19:45:00,3777,3417,4306,30
2015-02-08 19:46:00,2581,2412,2968,27
2015-02-08 19:47:00,3222,3380,2732,40
2015-02-08 19:48:00,3504,1985,3548,19
2015-02-08 19:49:00,936,1015,1182,18
2015-02-08 19:50:00,641,839,1128,17
2015-02-08 19:51:00,1545,1448,1401,17
2015-02-08 19:52:00,4637,2574,3108,12
2015-02-08 19:53:00,2973,2315,2624,14
2015-02-08 19:54:00,3021,1889,2774,13
2015-02-08 19:55:00,2680,1870,2790,16
2015-02-08 19:56:00,3841,1435,2183,43
2015-02-08 19:57:00,4194,1740,2070,47
2015-02-08 19:58:00,3885,3008,3541,32
2015-02-08 19:59:00,1621,1632,2490,26
2015-02-08 20:00:00,4864,2432,3399,22
